id,name,slug,type
7f7ca846-4a6d-11ed-8a49-2749c670a5e1,Cost of Living & Inflation,Cost_of_Living_Inflation,Issue
bb742564-a904-11e1-9412-005056900141,Costume Design,Costume_Design,Topic
08ebd060-c4f1-11e1-beea-005056a8759d,Counseling,Counseling,Topic
a1b92cd0-6ef0-11e2-8fef-005056a8759d,Counter-terrorism,Counter_terrorism,Topic
bb140410-a904-11e1-9412-005056900141,Crime & Policing,Crime_Policing,Topic
0a563630-1f90-11e2-8b86-005056a8759d,Crime Prevention,Crime_Prevention,Topic
ccd9d6f0-ec76-11e1-af10-005056a8759d,Criminal Justice,Criminal_Justice,Topic
ac8149f0-06f3-11e2-8e7c-005056a8759d,Criminals,Criminals,Topic
bb79077c-a904-11e1-9412-005056900141,Criminology and Criminal Justice,Criminology_and_Criminal_Justice,Topic
bf0dc6fc-a904-11e1-9412-005056900141,Cruises,Cruises,Topic
d2c6f9d4-732a-11ee-9a9d-176130db486a,Cryptocurrencies,Cryptocurrencies,Topic
58d5e450-dbe2-11e1-8a26-005056a8759d,Crystal healing,Crystal_healing,Topic
d07cba90-883b-11e3-920a-005056a8759d,Cults,Cults-Topic,Topic
bee30d6e-a904-11e1-9412-005056900141,Culture,Culture,Topic
bb7536ea-a904-11e1-9412-005056900141,Currency and Foreign Exchange,Currency_and_Foreign_Exchange,Topic
823e6920-4b07-11e4-9feb-005056a8759d,Current Events,Current_Events,Topic
ff4bfe50-ca8f-11e1-beea-005056a8759d,Curriculum,Curriculum,Topic
e24aa6a0-3b03-11e2-bcb0-005056a8759d,Cybersecurity,Cybersecurity,Topic
1fe6d0e0-06f9-11e2-8e7c-005056a8759d,The Cold War,The_Cold_War,Topic
bb74c1bd-a904-11e1-9412-005056900141,Dairy Farming,Dairy_Farming,Topic
bb140419-a904-11e1-9412-005056900141,Dating,Dating,Topic
08362f80-c6b3-11e1-beea-005056a8759d,Deafness,Deafness,Topic
c1f0c29e-a904-11e1-9412-005056900141,Death Penalty,Death_Penalty,Issue
9a191670-e6b5-11e1-af10-005056a8759d,Debt collection,Debt_collection,Topic
b86ede10-1122-11e2-8d8e-005056a8759d,Decades,Decades,browsing node
ad9abb00-4b6f-11e5-9438-005056a8759d,Declaration of Independence,Declaration_of_Independence,Historical Event
f395a220-c687-11e1-beea-005056a8759d,Decriminalization of Marijuana,Decriminalization_of_Marijuana,Topic
71166cd0-794b-11e3-a1c6-005056a8759d,Delivery Services,Delivery_Services,Topic
bb744c9c-a904-11e1-9412-005056900141,Democracy,Democracy,Topic
1879b610-8796-11e2-9a4b-005056a8759d,Democratic National Committee,Democratic_National_Committee,Institution
bb7b0348-a904-11e1-9412-005056900141,Democratic Party,Democratic_Party,Institution
efbd0a00-c130-11e1-939f-005056a8759d,Demography,Demography,Topic
bb733b13-a904-11e1-9412-005056900141,Dentistry,Dentistry,Topic
350cac50-5f33-11e2-812d-005056a8759d,Department of Energy,Department_of_Energy,Institution
bb140433-a904-11e1-9412-005056900141,Depression,Depression,Topic
6e6cfe60-b929-11e1-8e9d-00505690014d,Dianne Feinstein,Dianne_Feinstein,Public Figure
bb7f973a-a904-11e1-9412-005056900141,Dick Cheney,Dick_Cheney,Public Figure
be8228c7-a904-11e1-9412-005056900141,Diets,Diets,Topic
bc6f4e53-a904-11e1-9412-005056900141,Digital Media,Digital_Media,Topic
bb140426-a904-11e1-9412-005056900141,Dinosaurs,Dinosaurs,Topic
bb74738d-a904-11e1-9412-005056900141,Diplomacy,Diplomacy-Topic,Topic
bbb32a51-a904-11e1-9412-005056900141,Disability,Disability,Topic
694d9d20-f828-11e1-8e7c-005056a8759d,Disability Law,Disability_Law,Topic
bb14042b-a904-11e1-9412-005056900141,Diseases,Diseases,Topic
ac2c67b0-aa25-11e3-aa94-005056a8759d,Dishes,Dishes,Topic
c1d9df36-a904-11e1-9412-005056900141,Divorce,Divorce-Topic,Topic
556e4e20-dbc8-11e1-8a26-005056a8759d,DNA,DNA-Topic,Topic
632a0ba0-66e5-11e2-97e1-005056a8759d,Doctors,Doctors,Topic
bb742565-a904-11e1-9412-005056900141,Documentaries and Documentary-making,Documentaries_and_Documentary_making,Topic
c21d50f8-a904-11e1-9412-005056900141,Dog breeding,Dog_breeding,Topic
dd685df0-c522-11e1-beea-005056a8759d,Domestic violence,Domestic_violence,Topic
bb6b72f6-a904-11e1-9412-005056900141,Donald Trump,Donald_Trump,Public Figure
cc64b260-3250-11e2-8a8a-005056a8759d,Drag,Drag,Topic
2e3add10-5abb-11e2-812d-005056a8759d,Dream Interpretation,Dream_Interpretation,Topic
bc28f691-a904-11e1-9412-005056900141,Driving,Driving,Topic
f82a5d70-f27c-11e4-bd10-005056a8759d,Drones,Drones,Issue
bb142b19-a904-11e1-9412-005056900141,Drug Abuse,Drug_Abuse,Topic
bc043063-a904-11e1-9412-005056900141,Drug Rehabilitation,Drug_Rehabilitation,Topic
2f62c3b0-c9de-11e1-beea-005056a8759d,Dungeons & Dragons,Dungeons_Dragons-Topic,Topic
a9ed1c00-fda7-11e1-8e7c-005056a8759d,DVD/Movie Collecting,DVD_Movie_Collecting,Topic
1930a0d0-3261-11e2-8a8a-005056a8759d,Dysfunctional relationships,Dysfunctional_relationships,Topic
ac5f2dd0-c832-11ea-8947-7bc7ee38143c,The Daily Show / YouGov,The_Daily_Show_YouGov,Topic
8508a680-56a7-11e2-9aac-005056a8759d,Early Middle Ages,Early_Middle_Ages,Topic
a2114b50-1f85-11e2-8b86-005056a8759d,Earth,Earth,Topic
bca72723-a904-11e1-9412-005056900141,Earthquakes,Earthquakes,Topic
bb73fe89-a904-11e1-9412-005056900141,Education Policy,Education_Policy,Issue
47d11220-d4fb-11e2-be1c-005056a8759d,Edward Snowden,Edward_Snowden,Public Figure
bb142b1d-a904-11e1-9412-005056900141,Elderly care,Elderly_care,Topic
be426092-a904-11e1-9412-005056900141,Election reform,Election_reform,Topic
c271d999-a904-11e1-9412-005056900141,Elections,Elections,Topic
c043d5e9-a904-11e1-9412-005056900141,Electric cars,Electric_cars,Topic
7dd361a0-5f00-11e2-812d-005056a8759d,Electricity,Electricity,Topic
bb74e8e2-a904-11e1-9412-005056900141,Electricity Production and Distribution,Electricity_Production_and_Distribution,Topic
bce875fe-a904-11e1-9412-005056900141,Electronics,Electronics,Topic
3fcbb920-b3d4-11e1-993a-00505690014d,Elementary Education,Elementary_Education,Topic
19625200-c4ee-11e1-beea-005056a8759d,Elevator manufacturing,Elevator_manufacturing,Topic
609fd2cf-638d-11ef-8795-517cd4aa4e3f,Elissa Slotkin,Elissa_Slotkin,Public Figure
0a66ea80-c0c6-11e1-939f-005056a8759d,Elizabeth Warren,Elizabeth_Warren,Public Figure
044c5490-66f8-11e2-97e1-005056a8759d,Embarrassment,Embarrassment,Topic
bb797c98-a904-11e1-9412-005056900141,Emergency Care,Emergency_Care,Topic
dffc3a50-0730-11e2-8e7c-005056a8759d,Emergency Management,Emergency_Management-Topic,Topic
b9900890-f1f3-11e6-bb23-5f289599fa0a,Emmanuel Macron,Emmanuel_Macron,Public Figure
bc1128bb-a904-11e1-9412-005056900141,Employee Relations,Employee_Relations,Topic
bb790775-a904-11e1-9412-005056900141,Employment and Labour Law,Employment_and_Labour_Law,Topic
4f014560-f824-11e1-8e7c-005056a8759d,Energy Healing,Energy_Healing,Topic
9f84ba80-3b04-11e2-bcb0-005056a8759d,Energy policy,Energy_policy,Topic
bb6dbce2-a904-11e1-9412-005056900141,English Grammar,English_Grammar,Topic
d327f8e0-fcc3-11e1-8e7c-005056a8759d,Environmental disaster,Environmental_disaster,Topic
f4032120-24e6-11e2-8a8a-005056a8759d,Environmental Issues,Environmental_Issues,Topic
43fb0060-b3d3-11e1-993a-00505690014d,Environmental Protection and Conservation,Environmental_Protection_and_Conservation,Topic
3985854d-c789-11ea-adf1-19e6e59e2551,Eric Adams,Eric_Adams,Public Figure
bb744c78-a904-11e1-9412-005056900141,Ethics,Ethics-Topic,Topic
15184c50-9620-11e2-9a4b-005056a8759d,Evangelical Religion,Evangelical_Religion,Topic
53f375d0-2b71-11e3-b3f1-005056a8759d,Event Planning,Event_Planning,Topic
5b22a250-bf79-11e1-881b-005056a8759d,Evolution,Evolution-Issue,Issue
d5a449a0-072e-11e2-8e7c-005056a8759d,Expansionism,Expansionism,Topic
acb22300-fc34-11e1-8e7c-005056a8759d,Extended Family,Extended_Family,Topic
054e5fbd-a9ad-11ea-9ea1-97964cefe3ae,The Economist / YouGov polls,The_Economist_YouGov_polls,Topic
ce8d3850-4b70-11e5-9438-005056a8759d,Fair Housing Act,Fair_Housing_Act,Historical Event
5a7e2286-17b3-11e7-b082-7946860c2270,Fake news,Fake_news,Issue
beec5c34-3139-11eb-a0a0-b397615df548,Family & Parenting,Family_Parenting,Issue
f559edc0-4b70-11e5-9438-005056a8759d,Family and Medical Leave Act,Family_and_Medical_Leave_Act,Historical Event
d9dfd660-24fc-11e2-8a8a-005056a8759d,Family History,Family_History,Topic
e85fbed0-d7ef-11e1-8a26-005056a8759d,Family medicine,Family_medicine,Topic
843b8810-244a-11e2-8a8a-005056a8759d,Family Relations,Family_Relations,Topic
67d84560-fcc1-11e1-8e7c-005056a8759d,Family Therapy,Family_Therapy,Topic
2d2bd030-96d6-11e2-9a4b-005056a8759d,Family Traditions,Family_Traditions,Topic
80380df0-db1c-11e1-8a26-005056a8759d,Fantasy football,Fantasy_football,Topic
eb5362f0-8720-11e2-9a4b-005056a8759d,Father-son relationships,Father_son_relationships,Topic
ac7e2810-a6d5-11e2-959a-005056a8759d,Federal Aviation Regulations,Federal_Aviation_Regulations,Topic
714fe130-8839-11e2-9a4b-005056a8759d,Federal Reserve Police,Federal_Reserve_Police,Institution
2e2d7b40-878c-11e2-9a4b-005056a8759d,Federal Trade Commission,Federal_Trade_Commission,Institution
e498acf0-7a8b-11e2-8fef-005056a8759d,Federalism,Federalism,Issue
bdff3d16-a904-11e1-9412-005056900141,Fertility,Fertility,Topic
e9625140-e130-11e1-9d69-005056a8759d,Fiction,Fiction-Topic,Topic
ba7c7ef2-a904-11e1-9412-005056900141,Fiction Books,Fiction_Books,Topic
35aac110-5f33-11e2-812d-005056a8759d,FIFA,FIFA,Topic
bb145222-a904-11e1-9412-005056900141,Fighting,Fighting-Topic,Topic
517aeb20-be40-11e1-9cb6-00505690014d,Financial regulation,Financial_regulation,Topic
c621c0c0-c06b-11e1-939f-005056a8759d,Firearms,Firearms,Topic
4f17d990-24e5-11e2-8a8a-005056a8759d,First Amendment,First_Amendment,Topic
bb7b2a52-a904-11e1-9412-005056900141,First Lady of the United States,First_Lady_of_the_United_States,Title
